"Time","superficie s11"
2023-08-02 00:00:00,38.40
2023-08-02 01:00:00,37.93
2023-08-02 02:00:00,37.68
2023-08-02 03:00:00,37.75
2023-08-02 04:00:00,37.88
2023-08-02 05:00:00,37.88
2023-08-02 06:00:00,37.88
2023-08-02 07:00:00,37.90
2023-08-02 08:00:00,38.07
2023-08-02 09:00:00,38.59
2023-08-02 10:00:00,39.27
2023-08-02 11:00:00,39.49
2023-08-02 12:00:00,39.74
2023-08-02 13:00:00,39.92
2023-08-02 14:00:00,40.05
2023-08-02 15:00:00,40.28
2023-08-02 16:00:00,40.46
2023-08-02 17:00:00,40.64
2023-08-02 18:00:00,40.31
2023-08-02 19:00:00,39.40
2023-08-02 20:00:00,38.51
2023-08-02 21:00:00,38.43
2023-08-02 22:00:00,39.05
2023-08-02 23:00:00,38.90
2023-08-03 00:00:00,38.69
2023-08-03 01:00:00,38.50
2023-08-03 02:00:00,38.38
2023-08-03 03:00:00,38.34
2023-08-03 04:00:00,38.32
2023-08-03 05:00:00,38.55
2023-08-03 06:00:00,38.67
2023-08-03 07:00:00,38.35
2023-08-03 08:00:00,38.15
2023-08-03 09:00:00,38.13
2023-08-03 10:00:00,37.92
2023-08-03 11:00:00,37.17
2023-08-03 12:00:00,36.64
2023-08-03 13:00:00,36.44
2023-08-03 14:00:00,36.52
2023-08-03 15:00:00,36.70
2023-08-03 16:00:00,36.99
2023-08-03 17:00:00,37.13
2023-08-03 18:00:00,37.00
2023-08-03 19:00:00,36.77
2023-08-03 20:00:00,36.76
2023-08-03 21:00:00,36.55
2023-08-03 22:00:00,35.90
2023-08-03 23:00:00,35.53
2023-08-04 00:00:00,35.33
2023-08-04 01:00:00,34.96
2023-08-04 02:00:00,34.40
2023-08-04 03:00:00,33.33
2023-08-04 04:00:00,32.47
2023-08-04 05:00:00,31.94
2023-08-04 06:00:00,31.59
2023-08-04 07:00:00,31.07
2023-08-04 08:00:00,30.73
2023-08-04 09:00:00,30.51
2023-08-04 10:00:00,30.44
2023-08-04 11:00:00,30.46
2023-08-04 12:00:00,30.60
2023-08-04 13:00:00,30.75
2023-08-04 14:00:00,30.97
2023-08-04 15:00:00,31.05
2023-08-04 16:00:00,31.03
2023-08-04 17:00:00,31.07
2023-08-04 18:00:00,30.98
2023-08-04 19:00:00,30.99
2023-08-04 20:00:00,30.82
2023-08-04 21:00:00,30.78
2023-08-04 22:00:00,30.91
2023-08-04 23:00:00,30.92
2023-08-05 00:00:00,30.74
2023-08-05 01:00:00,30.84
2023-08-05 02:00:00,30.71
2023-08-05 03:00:00,30.58
2023-08-05 04:00:00,30.98
2023-08-05 05:00:00,31.23
2023-08-05 06:00:00,31.02
2023-08-05 07:00:00,30.73
2023-08-05 08:00:00,30.82
2023-08-05 09:00:00,30.92
2023-08-05 10:00:00,30.66
2023-08-05 11:00:00,30.77
2023-08-05 12:00:00,30.82
2023-08-05 13:00:00,30.84
2023-08-05 14:00:00,30.80
2023-08-05 15:00:00,31.01
2023-08-05 16:00:00,31.04
2023-08-05 17:00:00,31.10
2023-08-05 18:00:00,31.11
2023-08-05 19:00:00,31.00
2023-08-05 20:00:00,30.82
2023-08-05 21:00:00,30.64
2023-08-05 22:00:00,30.42
2023-08-05 23:00:00,30.26
2023-08-06 00:00:00,30.26
2023-08-06 01:00:00,30.03
2023-08-06 02:00:00,29.93
2023-08-06 03:00:00,29.81
2023-08-06 04:00:00,29.71
2023-08-06 05:00:00,29.55
2023-08-06 06:00:00,29.40
2023-08-06 07:00:00,29.28
2023-08-06 08:00:00,29.20
2023-08-06 09:00:00,29.29
2023-08-06 10:00:00,29.52
2023-08-06 11:00:00,29.81
2023-08-06 12:00:00,30.48
2023-08-06 13:00:00,30.61
2023-08-06 14:00:00,30.80
2023-08-06 15:00:00,31.11
2023-08-06 16:00:00,31.53
2023-08-06 17:00:00,31.65
2023-08-06 18:00:00,31.79
2023-08-06 19:00:00,31.81
2023-08-06 20:00:00,31.81
