"Time","superficie"
2023-06-22 04:20:00,30.34
2023-06-22 04:40:00,30.28
2023-06-22 05:00:00,30.19
2023-06-22 05:20:00,30.13
2023-06-22 05:40:00,30.09
2023-06-22 06:00:00,29.94
2023-06-22 06:20:00,29.81
2023-06-22 06:40:00,29.78
2023-06-22 07:00:00,29.72
2023-06-22 07:20:00,29.66
2023-06-22 07:40:00,29.63
2023-06-22 08:00:00,29.59
2023-06-22 08:20:00,29.59
2023-06-22 08:40:00,29.56
2023-06-22 09:00:00,29.63
2023-06-22 09:20:00,29.63
2023-06-22 09:40:00,29.63
2023-06-22 10:00:00,29.66
2023-06-22 10:20:00,29.69
2023-06-22 10:40:00,29.75
2023-06-22 11:00:00,29.84
2023-06-22 11:20:00,29.91
2023-06-22 11:40:00,30.03
2023-06-22 12:00:00,30.25
2023-06-22 12:20:00,30.47
2023-06-22 12:40:00,30.47
2023-06-22 13:00:00,30.56
2023-06-22 13:20:00,30.66
2023-06-22 13:40:00,30.78
2023-06-22 14:00:00,30.88
2023-06-22 14:20:00,31.00
2023-06-22 14:40:00,31.09
2023-06-22 15:00:00,31.22
2023-06-22 15:20:00,31.28
2023-06-22 15:40:00,31.31
2023-06-22 16:00:00,31.41
2023-06-22 16:20:00,31.47
2023-06-22 16:40:00,31.50
2023-06-22 17:00:00,31.56
2023-06-22 17:20:00,31.56
2023-06-22 17:40:00,31.56
2023-06-22 18:00:00,31.56
2023-06-22 18:20:00,31.56
2023-06-22 18:40:00,31.56
2023-06-22 19:00:00,31.56
2023-06-22 19:20:00,31.50
2023-06-22 19:40:00,31.47
2023-06-22 20:00:00,31.44
2023-06-22 20:20:00,31.38
2023-06-22 20:40:00,31.25
2023-06-22 21:00:00,31.22
2023-06-22 21:20:00,31.19
2023-06-22 21:40:00,31.13
2023-06-22 22:00:00,31.06
2023-06-22 22:20:00,31.03
2023-06-22 22:40:00,30.97
2023-06-22 23:00:00,30.88
2023-06-22 23:20:00,30.81
2023-06-22 23:40:00,30.81
2023-06-23 00:00:00,30.75
2023-06-23 00:20:00,30.75
2023-06-23 00:40:00,30.69
2023-06-23 01:00:00,30.66
2023-06-23 01:20:00,30.63
2023-06-23 01:40:00,30.63
2023-06-23 02:00:00,30.56
2023-06-23 02:20:00,30.56
2023-06-23 02:40:00,30.53
2023-06-23 03:00:00,30.50
2023-06-23 03:20:00,30.50
2023-06-23 03:40:00,30.44
2023-06-23 04:00:00,30.41
2023-06-23 04:20:00,30.38
2023-06-23 04:40:00,30.38
2023-06-23 05:00:00,30.31
2023-06-23 05:20:00,30.28
2023-06-23 05:40:00,30.25
2023-06-23 06:00:00,30.25
2023-06-23 06:20:00,30.16
2023-06-23 06:40:00,30.13
2023-06-23 07:00:00,30.06
2023-06-23 07:20:00,30.06
2023-06-23 07:40:00,29.94
2023-06-23 08:00:00,29.97
2023-06-23 08:20:00,30.03
2023-06-23 08:40:00,30.06
2023-06-23 09:00:00,30.09
2023-06-23 09:20:00,30.06
2023-06-23 09:40:00,30.00
2023-06-23 10:00:00,30.00
2023-06-23 10:20:00,30.09
2023-06-23 10:40:00,30.13
2023-06-23 11:00:00,30.22
2023-06-23 11:20:00,30.31
2023-06-23 11:40:00,30.41
2023-06-23 12:00:00,30.50
2023-06-23 12:20:00,30.63
2023-06-23 12:40:00,30.75
2023-06-23 13:00:00,30.81
2023-06-23 13:20:00,30.88
2023-06-23 13:40:00,30.94
2023-06-23 14:00:00,31.03
2023-06-23 14:20:00,31.13
2023-06-23 14:40:00,31.28
2023-06-23 15:00:00,31.38
2023-06-23 15:20:00,31.44
2023-06-23 15:40:00,31.53
2023-06-23 16:00:00,31.63
2023-06-23 16:20:00,31.72
2023-06-23 16:40:00,31.78
2023-06-23 17:00:00,31.88
2023-06-23 17:20:00,31.88
2023-06-23 17:40:00,31.91
2023-06-23 18:00:00,31.94
2023-06-23 18:20:00,31.91
2023-06-23 18:40:00,31.94
2023-06-23 19:00:00,31.94
2023-06-23 19:20:00,31.94
2023-06-23 19:40:00,31.91
2023-06-23 20:00:00,31.84
2023-06-23 20:20:00,31.78
2023-06-23 20:40:00,31.72
2023-06-23 21:00:00,31.66
2023-06-23 21:20:00,31.60
2023-06-23 21:40:00,31.53
2023-06-23 22:00:00,31.44
2023-06-23 22:20:00,31.44
2023-06-23 22:40:00,31.38
2023-06-23 23:00:00,31.28
2023-06-23 23:20:00,31.22
2023-06-23 23:40:00,31.16
2023-06-24 00:00:00,31.13
2023-06-24 00:20:00,31.09
2023-06-24 00:40:00,31.03
2023-06-24 01:00:00,31.00
2023-06-24 01:20:00,30.97
2023-06-24 01:40:00,30.91
2023-06-24 02:00:00,30.88
2023-06-24 02:20:00,30.81
2023-06-24 02:40:00,30.75
2023-06-24 03:00:00,30.69
2023-06-24 03:20:00,30.63
2023-06-24 03:40:00,30.56
2023-06-24 04:00:00,30.53
2023-06-24 04:20:00,30.47
2023-06-24 04:40:00,30.41
2023-06-24 05:00:00,30.28
2023-06-24 05:20:00,30.25
2023-06-24 05:40:00,30.16
2023-06-24 06:00:00,30.13
2023-06-24 06:20:00,30.13
2023-06-24 06:40:00,30.13
2023-06-24 07:00:00,30.09
2023-06-24 07:20:00,30.06
2023-06-24 07:40:00,30.06
2023-06-24 08:00:00,30.06
2023-06-24 08:20:00,30.06
2023-06-24 08:40:00,30.13
2023-06-24 09:00:00,30.13
2023-06-24 09:20:00,30.19
2023-06-24 09:40:00,30.22
2023-06-24 10:00:00,30.28
2023-06-24 10:20:00,30.34
2023-06-24 10:40:00,30.44
2023-06-24 11:00:00,30.56
2023-06-24 11:20:00,30.72
2023-06-24 11:40:00,30.84
2023-06-24 12:00:00,30.91
2023-06-24 12:20:00,30.84
2023-06-24 12:40:00,30.97
2023-06-24 13:00:00,31.13
2023-06-24 13:20:00,31.22
2023-06-24 13:40:00,31.28
2023-06-24 14:00:00,31.34
2023-06-24 14:20:00,31.47
2023-06-24 14:40:00,31.59
2023-06-24 15:00:00,31.66
2023-06-24 15:20:00,31.75
2023-06-24 15:40:00,31.88
2023-06-24 16:00:00,31.94
2023-06-24 16:20:00,31.97
2023-06-24 16:40:00,32.03
2023-06-24 17:00:00,32.13
2023-06-24 17:20:00,32.16
2023-06-24 17:40:00,32.22
2023-06-24 18:00:00,32.22
2023-06-24 18:20:00,32.25
2023-06-24 18:40:00,32.25
2023-06-24 19:00:00,32.25
2023-06-24 19:20:00,32.22
2023-06-24 19:40:00,32.19
2023-06-24 20:00:00,32.13
2023-06-24 20:20:00,32.06
2023-06-24 20:40:00,31.97
2023-06-24 21:00:00,31.91
2023-06-24 21:20:00,31.73
2023-06-24 21:40:00,31.69
2023-06-24 22:00:00,31.66
2023-06-24 22:20:00,31.56
2023-06-24 22:40:00,31.53
2023-06-24 23:00:00,31.53
2023-06-24 23:20:00,31.47
2023-06-24 23:40:00,31.44
2023-06-25 00:00:00,31.38
2023-06-25 00:20:00,31.31
2023-06-25 00:40:00,31.31
2023-06-25 01:00:00,31.28
2023-06-25 01:20:00,31.25
2023-06-25 01:40:00,31.19
2023-06-25 02:00:00,31.13
2023-06-25 02:20:00,31.13
2023-06-25 02:40:00,31.09
2023-06-25 03:00:00,31.03
2023-06-25 03:20:00,31.00
2023-06-25 03:40:00,30.94
2023-06-25 04:00:00,30.91
2023-06-25 04:20:00,30.84
2023-06-25 04:40:00,30.81
2023-06-25 05:00:00,30.72
2023-06-25 05:20:00,30.69
2023-06-25 05:40:00,30.63
2023-06-25 06:00:00,30.59
2023-06-25 06:20:00,30.53
2023-06-25 06:40:00,30.47
2023-06-25 07:00:00,30.44
2023-06-25 07:20:00,30.44
2023-06-25 07:40:00,30.44
2023-06-25 08:00:00,30.41
2023-06-25 08:20:00,30.41
2023-06-25 08:40:00,30.44
2023-06-25 09:00:00,30.50
2023-06-25 09:20:00,30.56
2023-06-25 09:40:00,30.59
2023-06-25 10:00:00,30.69
2023-06-25 10:20:00,30.78
2023-06-25 10:40:00,30.94
2023-06-25 11:00:00,30.94
2023-06-25 11:20:00,31.06
2023-06-25 11:40:00,31.19
2023-06-25 12:00:00,31.28
2023-06-25 12:20:00,31.28
2023-06-25 12:40:00,31.31
2023-06-25 13:00:00,31.50
2023-06-25 13:20:00,31.44
2023-06-25 13:40:00,31.56
2023-06-25 14:00:00,31.69
2023-06-25 14:20:00,31.75
2023-06-25 14:40:00,31.81
2023-06-25 15:00:00,31.94
2023-06-25 15:20:00,31.97
2023-06-25 15:40:00,32.06
2023-06-25 16:00:00,32.13
2023-06-25 16:20:00,32.16
2023-06-25 16:40:00,32.13
2023-06-25 17:00:00,32.19
2023-06-25 17:20:00,32.22
2023-06-25 17:40:00,32.25
2023-06-25 18:00:00,32.25
2023-06-25 18:20:00,32.25
2023-06-25 18:40:00,32.25
2023-06-25 19:00:00,32.22
2023-06-25 19:20:00,32.16
2023-06-25 19:40:00,32.09
2023-06-25 20:00:00,32.06
2023-06-25 20:20:00,31.97
2023-06-25 20:40:00,31.88
2023-06-25 21:00:00,31.75
2023-06-25 21:20:00,31.73
2023-06-25 21:40:00,31.66
2023-06-25 22:00:00,31.59
2023-06-25 22:20:00,31.53
2023-06-25 22:40:00,31.47
2023-06-25 23:00:00,31.38
2023-06-25 23:20:00,31.34
2023-06-25 23:40:00,31.31
2023-06-26 00:00:00,31.22
2023-06-26 00:20:00,31.19
2023-06-26 00:40:00,31.13
2023-06-26 01:00:00,31.09
2023-06-26 01:20:00,31.06
2023-06-26 01:40:00,31.00
2023-06-26 02:00:00,30.94
2023-06-26 02:20:00,30.94
2023-06-26 02:40:00,30.91
2023-06-26 03:00:00,30.84
2023-06-26 03:20:00,30.81
2023-06-26 03:40:00,30.78
2023-06-26 04:00:00,30.78
2023-06-26 04:20:00,30.72
2023-06-26 04:40:00,30.66
2023-06-26 05:00:00,30.63
2023-06-26 05:20:00,30.59
2023-06-26 05:40:00,30.56
2023-06-26 06:00:00,30.56
2023-06-26 06:20:00,30.53
2023-06-26 06:40:00,30.47
2023-06-26 07:00:00,30.44
2023-06-26 07:20:00,30.38
2023-06-26 07:40:00,30.31
2023-06-26 08:00:00,30.31
2023-06-26 08:20:00,30.25
2023-06-26 08:40:00,30.28
2023-06-26 09:00:00,30.31
2023-06-26 09:20:00,30.34
2023-06-26 09:40:00,30.28
2023-06-26 10:00:00,30.25
2023-06-26 10:20:00,30.41
2023-06-26 10:40:00,30.50
2023-06-26 11:00:00,30.44
2023-06-26 11:20:00,30.47
2023-06-26 11:40:00,30.66
2023-06-26 12:00:00,30.78
2023-06-26 12:20:00,30.84
2023-06-26 12:40:00,30.97
2023-06-26 13:00:00,31.06
2023-06-26 13:20:00,31.16
2023-06-26 13:40:00,31.28
2023-06-26 14:00:00,31.34
2023-06-26 14:20:00,31.41
2023-06-26 14:40:00,31.53
2023-06-26 15:00:00,31.69
2023-06-26 15:20:00,31.78
2023-06-26 15:40:00,31.91
2023-06-26 16:00:00,31.97
2023-06-26 16:20:00,32.03
2023-06-26 16:40:00,32.13
2023-06-26 17:00:00,32.19
2023-06-26 17:20:00,32.19
2023-06-26 17:40:00,32.19
2023-06-26 18:00:00,32.19
2023-06-26 18:20:00,32.22
2023-06-26 18:40:00,32.19
2023-06-26 19:00:00,32.16
2023-06-26 19:20:00,32.06
2023-06-26 19:40:00,32.06
2023-06-26 20:00:00,32.00
2023-06-26 20:20:00,31.97
2023-06-26 20:40:00,31.91
2023-06-26 21:00:00,31.84
2023-06-26 21:20:00,31.77
2023-06-26 21:40:00,31.75
2023-06-26 22:00:00,31.69
2023-06-26 22:20:00,31.53
2023-06-26 22:40:00,31.53
2023-06-26 23:00:00,31.44
2023-06-26 23:20:00,31.38
2023-06-26 23:40:00,31.28
2023-06-27 00:00:00,31.25
