"Time","fondo s2"
2023-01-19 15:00:00,11.38
2023-01-19 15:30:00,11.38
2023-01-19 16:00:00,11.38
2023-01-19 16:30:00,11.46
2023-01-19 17:00:00,11.42
2023-01-19 17:30:00,11.50
2023-01-19 18:00:00,11.44
2023-01-19 18:30:00,11.38
2023-01-19 19:00:00,11.58
2023-01-19 19:30:00,11.31
2023-01-19 20:00:00,11.65
2023-01-19 20:30:00,11.65
2023-01-19 21:00:00,11.56
2023-01-19 21:30:00,11.46
2023-01-19 22:00:00,11.73
2023-01-19 22:30:00,11.50
2023-01-19 23:00:00,11.63
2023-01-19 23:30:00,11.58
2023-01-20 00:00:00,11.52
2023-01-20 00:30:00,11.54
2023-01-20 01:00:00,11.54
2023-01-20 01:30:00,11.58
2023-01-20 02:00:00,11.65
2023-01-20 02:30:00,11.25
2023-01-20 03:00:00,11.25
2023-01-20 03:30:00,11.13
2023-01-20 04:00:00,11.06
2023-01-20 04:30:00,10.94
2023-01-20 05:00:00,10.90
2023-01-20 05:30:00,10.75
2023-01-20 06:00:00,10.75
2023-01-20 06:30:00,10.73
2023-01-20 07:00:00,10.75
2023-01-20 07:30:00,10.79
2023-01-20 08:00:00,10.71
2023-01-20 08:30:00,10.79
2023-01-20 09:00:00,10.81
2023-01-20 09:30:00,10.88
2023-01-20 10:00:00,10.77
2023-01-20 10:30:00,10.85
2023-01-20 11:00:00,10.96
2023-01-20 11:30:00,11.06
2023-01-20 12:00:00,11.19
2023-01-20 12:30:00,11.29
2023-01-20 13:00:00,11.42
2023-01-20 13:30:00,11.54
2023-01-20 14:00:00,11.69
2023-01-20 14:30:00,11.81
2023-01-20 15:00:00,11.92
2023-01-20 15:30:00,11.98
2023-01-20 16:00:00,12.08
2023-01-20 16:30:00,12.13
2023-01-20 17:00:00,12.13
2023-01-20 17:30:00,12.13
2023-01-20 18:00:00,12.13
2023-01-20 18:30:00,12.15
2023-01-20 19:00:00,12.19
2023-01-20 19:30:00,12.27
2023-01-20 20:00:00,12.25
